	world	description	category	animating	footprintx	footprintz	height	filename	seqname	seqnameshad	animtrans	shadtrans	hitdensity	metal	damage	indestructible	seqnamereclamate	energy	seqnameburn	seqnameburnshad	featureburnt	burnmin	burnmax	sparktime	spreadchance	burnweapon	seqnamedie	featuredead	flamable	reclaimable	featurereclamamate	reproduce	reproducearea	blocking	geothermal	object	autoreclaimable	nodrawundergray	featurereclamate	nodisplayinfo	permanent	energy 
ReImagined HPI RAW\features\Lush\ROCKS.LushCrushed08	Lush	Rock	rocks	0	5	5	31	lushrocks	crushed08	crushshad08	0	1	100	25	2000		crushed08rec											lushcrushed208		1				1					lushrocksmudge4			
ReImagined HPI RAW\features\Lush\ROCKS.LushCrushed205	Lush	Rock	rocks	0	3	3	8	lushrocks	crushed205	crushshad205	0	1	100	25	2000		crushed205rec											lushrockscar5		1				1					lushrocksmudge5			
ReImagined HPI RAW\features\Lush\ROCKS.LushCrushed206	Lush	Rock	rocks	0	4	4	14	lushrocks	crushed206	crushshad206	0	1	100	25	2000		crushed206rec											lushrockscar		1				1					lushrocksmudge			
ReImagined HPI RAW\features\Lush\ROCKS.LushCrushed207	Lush	Rock	rocks	0	5	5	16	lushrocks	crushed207	crushshad207	0	1	100	25	2000		crushed207rec											lushrockscar4		1				1					lushrocksmudge4			
ReImagined HPI RAW\features\Lush\ROCKS.LushCrushed208	Lush	Rock	rocks	0	5	5	14	lushrocks	crushed208	crushshad208	0	1	100	25	2000		crushed208rec											lushrockscar4		1				1					lushrocksmudge4			
ReImagined HPI RAW\features\Lush\ROCKS.LushRockScar	Lush	Damaged Terrain	scars	0	4	4	0	lushrocks	lushrockscar		0	1	100		20000													lushrockscar						0								
ReImagined HPI RAW\features\Lush\ROCKS.LushRockScar2	Lush	Damaged Terrain	scars	0	2	2	0	lushrocks	lushrockscar2		0	1	100		20000													lushrockscar2						0								
ReImagined HPI RAW\features\Lush\ROCKS.LushRockScar3	Lush	Damaged Terrain	scars	0	1	1	0	lushrocks	lushrockscar3		0	1	100		20000													lushrockscar3						0								
ReImagined HPI RAW\features\Lush\ROCKS.LushRockScar4	Lush	Damaged Terrain	scars	0	5	5	0	lushrocks	lushrockscar4		0	1	100		20000													lushrockscar4						0								
ReImagined HPI RAW\features\Lush\ROCKS.LushRockScar5	Lush	Damaged Terrain	scars	0	3	3	0	lushrocks	lushrockscar5		0	1	100		20000													lushrockscar5						0								
ReImagined HPI RAW\features\Lush\ROCKS.LushRockScar6	Lush	Damaged Terrain	scars	0	3	3	0	lushrocks	lushrockscar6		0	1	100		20000													lushrockscar6						0								
ReImagined HPI RAW\features\Lush\ROCKS.LushRockSmudge	Lush	Damaged Terrain	smudges	0	4	4	0	lushrocks	lushrockscar		1	1	100		20000													lushrocksmudge						0								
ReImagined HPI RAW\features\Lush\ROCKS.LushRockSmudge2	Lush	Damaged Terrain	smudges	0	2	2	0	lushrocks	lushrockscar2		1	1	100		20000													lushrocksmudge2						0								
ReImagined HPI RAW\features\Lush\ROCKS.LushRockSmudge3	Lush	Damaged Terrain	smudges	0	1	1	0	lushrocks	lushrockscar3		1	1	100		20000													lushrocksmudge3						0								
ReImagined HPI RAW\features\Lush\ROCKS.LushRockSmudge4	Lush	Damaged Terrain	smudges	0	5	5	0	lushrocks	lushrockscar4		1	1	100		20000													lushrocksmudge4						0								
ReImagined HPI RAW\features\Lush\ROCKS.LushRockSmudge5	Lush	Damaged Terrain	smudges	0	3	3	0	lushrocks	lushrockscar5		1	1	100		20000													lushrocksmudge5						0								
ReImagined HPI RAW\features\Lush\ROCKS.LushRockSmudge6	Lush	Damaged Terrain	smudges	0	3	3	0	lushrocks	lushrockscar6		1	1	100		20000													lushrocksmudge6						0								
ReImagined HPI RAW\features\Lush\TREES.LushTree01	lush	Tree	trees	0	1	1	66	tall-tree	talltree1	tallshadow1	0	1	10				talltree1rec	250	tree1burn		Lush01crisp	5	15	5	40	TreeBurn	talltree3boom	tallsmudge	1	1		0	6	1					tallsmudge			
ReImagined HPI RAW\features\Lush\TREES.Lush01crisp	lush	Burnt Tree	trees	0	1	1	66	tall-tree	talltree1crisp	crispshadow1	0	1	10				talltree1crec	50				5	15	5	70		talltree2cboom	tallsmudge	0	1		0	6	1					tallsmudge			
ReImagined HPI RAW\features\Lush\TREES.Lush02	lush	Tree	trees	0	1	1	66	tall-tree	talltree2	tallshadow2	0	1	10				talltree2rec	250	tree2burn		Lush02crisp	5	15	5	40	TreeBurn	talltree3boom	tallsmudge2	1	1		0	6	1					tallsmudge2			
ReImagined HPI RAW\features\Lush\TREES.Lush02crisp	lush	Burnt Tree	trees	0	1	1	66	tall-tree	talltree2crisp	crispshadow2	0	1	10				talltree2crec	50				5	15	5	70		talltree2cboom	tallsmudge2	0	1		0	6	1					tallsmudge2			
ReImagined HPI RAW\features\Lush\TREES.Lush03	lush	Tree	trees	0	1	1	66	tall-tree	talltree3	tallshadow3	0	1	10				talltree3rec	250	tree3burn		Lush03crisp	5	15	5	40	TreeBurn	talltree3boom	tallsmudge	1	1		0	6	1					tallsmudge			
ReImagined HPI RAW\features\Lush\TREES.Lush03crisp	lush	Burnt Tree	trees	0	1	1	66	tall-tree	talltree3crisp	crispshadow3	0	1	10				talltree3crec	50				5	15	5	70		talltree2cboom	tallsmudge	0	1		0	6	1					tallsmudge			
ReImagined HPI RAW\features\Lush\TREES.Lush04	lush	Tree	trees	0	1	1	66	short-tree	tree04	treeshadow04	0	1	10				tree04rec	250	tree04burn		Lush04crisp	5	15	5	50	TreeBurn	tree05boom	shortsmudge	1	1		0	6	1					shortsmudge			
ReImagined HPI RAW\features\Lush\TREES.Lush04crisp	lush	Burnt Tree	trees	0	1	1	66	short-tree	tree04crisp	crispshadow04	0	1	10				tree04crisprec	50				5	15	5	90		tree06crispboom	shortsmudge	0	1		0	6	1					shortsmudge			
ReImagined HPI RAW\features\Lush\TREES.Lush05	lush	Tree	trees	0	1	1	66	short-tree	tree05	treeshadow05	0	1	10				tree05rec	250	tree05burn		Lush05crisp	5	15	5	50	TreeBurn	tree05boom	shortsmudge2	1	1		0	6	1					shortsmudge2			
ReImagined HPI RAW\features\Lush\TREES.Lush05crisp	lush	Burnt Tree	trees	0	1	1	66	short-tree	tree05crisp	crispshadow05	0	1	10				tree05crisprec	50				5	15	5	90		tree06crispboom	shortsmudge2	0	1		0	6	1					shortsmudge2			
ReImagined HPI RAW\features\Lush\TREES.Lush06	lush	Tree	trees	0	1	1	66	short-tree	tree06	treeshadow06	0	1	10				tree06rec	250	tree06burn		Lush06crisp	5	15	5	50	TreeBurn	tree05boom	shortsmudge3	1	1		0	6	1					shortsmudge3			
ReImagined HPI RAW\features\Lush\TREES.Lush06crisp	lush	Burnt Tree	trees	0	1	1	66	short-tree	tree06crisp	crispshadow06	0	1	10				tree06crisprec	50				5	15	5	90		tree06crispboom	shortsmudge3	0	1		0	6	1					shortsmudge3			
ReImagined HPI RAW\features\Lush\TREES.Lush07	lush	Oolok Tree	trees	0	1	1	66	tuber-tree	tree07	treeshadow07	0	1	10	50			tree07rec	150	tree07burn		Lush07crisp	5	15	5	70	TreeBurn	tree07boom	tubertreesmudge2	1	1		0	6	1					tubertreesmudge			
ReImagined HPI RAW\features\Lush\TREES.Lush07crisp	lush	Burnt Tree	trees	0	1	1	66	tuber-tree	tree07crisp	crispshadow07	0	1	10				tree07crisprec	50				5	15	5	90		tree09crispboom	tubertreesmudge	0	1		0	6	1					tubertreesmudge2			
ReImagined HPI RAW\features\Lush\TREES.Lush08	lush	Oolok Tree	trees	0	1	1	66	tuber-tree	tree08	treeshadow08	0	1	10	50			tree08rec	150	tree08burn		Lush08crisp	5	15	5	70	TreeBurn	tree07boom	tubertreesmudge2	1	1		0	6	1					tubertreesmudge			
ReImagined HPI RAW\features\Lush\TREES.Lush08crisp	lush	Burnt Tree	trees	0	1	1	66	tuber-tree	tree08crisp	crispshadow08	0	1	10				tree08crisprec	50				5	15	5	90		tree09crispboom	tubertreesmudge	0	1		0	6	1					tubertreesmudge2			
ReImagined HPI RAW\features\Lush\TREES.Lush09	lush	Oolok Tree	trees	0	1	1	66	tuber-tree	tree09	treeshadow09	0	1	10	50			tree09rec	150	tree09burn		Lush09crisp	5	15	5	70	TreeBurn	tree07boom	tubertreesmudge	1	1		0	6	1					tubertreesmudge2			
ReImagined HPI RAW\features\Lush\TREES.Lush09crisp	lush	Burnt Tree	trees	0	1	1	66	tuber-tree	tree09crisp	crispshadow09	0	1	10				tree09crisprec	50				5	15	5	90		tree09crispboom	tubertreesmudge2	0	1		0	6	1					tubertreesmudge			
ReImagined HPI RAW\features\Lush\TREES.tallsmudge	lush	Damaged Terrain	smudges	0	1	1	0	tall-tree	tallsmudge		1		0															tallsmudge	0	0		0	6	0								
ReImagined HPI RAW\features\Lush\TREES.tallsmudge2	lush	Damaged Terrain	smudges	0	1	1	0	tall-tree	tallsmudge2		1		0															tallsmudge2	0	0		0	6	0								
ReImagined HPI RAW\features\Lush\TREES.shortsmudge	lush	Damaged Terrain	smudges	0	1	1	0	short-tree	shortsmudge		1		0															shortsmudge	0	0		0	6	0								
ReImagined HPI RAW\features\Lush\TREES.shortsmudge2	lush	Damaged Terrain	smudges	0	1	1	0	short-tree	shortsmudge2		1		0															shortsmudge2	0	0		0	6	0								
ReImagined HPI RAW\features\Lush\TREES.shortsmudge3	lush	Damaged Terrain	smudges	0	1	1	0	short-tree	shortsmudge3		1		0															shortsmudge3	0	0		0	6	0								
ReImagined HPI RAW\features\Lush\TREES.tubertreesmudge	lush	Damaged Terrain	smudges	0	1	1	0	tuber-tree	tubertreesmudge		1		0															tubertreesmudge	0	0		0	6	0								
ReImagined HPI RAW\features\Lush\TREES.tubertreesmudge2	lush	Damaged Terrain	smudges	0	1	1	0	tuber-tree	tubertreesmudge2		1		0															tubertreesmudge2	0	0		0	6	0								
ReImagined HPI RAW\features\Lush\VENTS.LushVent01	lush	Thermal Vent	steamvents	1	1	1	0	lushvents	geovent01				0			1																			1							
ReImagined HPI RAW\features\Lush\VENTS.LushVent02	lush	Thermal Vent	steamvents	1	1	1	0	lushvents	geovent02				0			1																			1							
ReImagined HPI RAW\features\Lush\VENTS.LushVent03	lush	Thermal Vent	steamvents	1	1	1	0	lushvents	geovent03				0			1																			1							
ReImagined HPI RAW\features\Lush\WEEDS.lushfoliage01	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant01		0	1	10				lushplant01rec	75	lushplant01burn		lushpsmudge03	5	15	5	90	ShrubBurn		lushpsmudge03	1	1		0	6	0					lushpsmudge03			
ReImagined HPI RAW\features\Lush\WEEDS.lushfoliage02	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant02		0	1	10				lushplant02rec	75	lushplant02burn		lushpsmudge03	5	15	5	90	ShrubBurn		lushpsmudge03	1	1		0	6	0					lushpsmudge03			
ReImagined HPI RAW\features\Lush\WEEDS.lushfoliage03	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant03		0	1	10				lushplant03rec	75	lushplant03burn		lushpsmudge03	5	15	5	90	ShrubBurn		lushpsmudge03	1	1		0	6	0					lushpsmudge03			
ReImagined HPI RAW\features\Lush\WEEDS.lushfoliage04	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant04		0	1	10				lushplant04rec	75	lushplant04burn		lushpsmudge03	5	15	5	90	ShrubBurn		lushpsmudge03	1	1		0	6	0					lushpsmudge03			
ReImagined HPI RAW\features\Lush\WEEDS.lushfoliage05	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant05		0	1	10				lushplant05rec	75	lushplant05burn		lushpsmudge03	5	15	5	90	ShrubBurn		lushpsmudge03	1	1		0	6	0					lushpsmudge03			
ReImagined HPI RAW\features\Lush\WEEDS.lushfoliage06	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant06		0	1	10				lushplant06rec	75	lushplant06burn		lushpsmudge01	5	15	5	90	ShrubBurn		lushpsmudge01	1	1		0	6	0					lushpsmudge01			
ReImagined HPI RAW\features\Lush\WEEDS.lushfoliage07	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant07		0	1	10				lushplant07rec	75	lushplant07burn		lushpsmudge02	5	15	5	90	ShrubBurn		lushpsmudge02	1	1		0	6	0					lushpsmudge02			
ReImagined HPI RAW\features\Lush\WEEDS.lushfoliage2-01	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant201	lushpshad201	0	1	10				lushplant201rec	75	lushplant201burn		lushpsmudge01	5	15	5	90	ShrubBurn		lushpsmudge01	1	1		0	6	0					lushpsmudge01			
ReImagined HPI RAW\features\Lush\WEEDS.lushfoliage2-02	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant202	lushpshad202	0	1	10				lushplant202rec	75	lushplant202burn		lushpsmudge02	5	15	5	90	ShrubBurn		lushpsmudge02	1	1		0	6	0					lushpsmudge02			
ReImagined HPI RAW\features\Lush\WEEDS.lushfoliage2-03	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant203	lushpshad203	0	1	10				lushplant203rec	75	lushplant203burn		lushpsmudge03	5	15	5	90	ShrubBurn		lushpsmudge03	1	1		0	6	0					lushpsmudge03			
ReImagined HPI RAW\features\Lush\WEEDS.lushfoliage2-04	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant204	lushpshad204	0	1	10				lushplant204rec	75	lushplant204burn		lushpsmudge03	5	15	5	90	ShrubBurn		lushpsmudge03	1	1		0	6	0					lushpsmudge03			
ReImagined HPI RAW\features\Lush\WEEDS.lushfoliage2-05	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant205	lushpshad205	0	1	10				lushplant205rec	75	lushplant205burn		lushpsmudge03	5	15	5	90	ShrubBurn		lushpsmudge03	1	1		0	6	0					lushpsmudge03			
ReImagined HPI RAW\features\Lush\WEEDS.lushvine01	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushvine01	lushvineshad01	0	1	10				lushvine01rec	75	lushvine01burn		lushpsmudge04	5	15	5	90	ShrubBurn		lushpsmudge04	1	1		0	6	0					lushpsmudge04			
ReImagined HPI RAW\features\Lush\WEEDS.lushvine02	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushvine02	lushvineshad02	0	1	10				lushvine02rec	75	lushvine02burn		lushpsmudge02	5	15	5	90	ShrubBurn		lushpsmudge02	1	1		0	6	0					lushpsmudge02			
ReImagined HPI RAW\features\Lush\WEEDS.lushvine03	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushvine03	lushvineshad03	0	1	10				lushvine03rec	75	lushvine03burn		lushpsmudge03	5	15	5	90	ShrubBurn		lushpsmudge03	1	1		0	6	0					lushpsmudge03			
ReImagined HPI RAW\features\Lush\WEEDS.Lushpsmudge01	Lush	Damaged Terrain	smudges	0	1	1	0	lushfoliage	lushpsmudge01		1		0															lushpsmudge01	0	0		0	6	0								
ReImagined HPI RAW\features\Lush\WEEDS.Lushpsmudge02	Lush	Damaged Terrain	smudges	0	1	1	0	lushfoliage	lushpsmudge02		1		0															lushpsmudge02	0	0		0	6	0								
ReImagined HPI RAW\features\Lush\WEEDS.Lushpsmudge03	Lush	Damaged Terrain	smudges	0	1	1	0	lushfoliage	lushpsmudge03		1		0															lushpsmudge03	0	0		0	6	0								
ReImagined HPI RAW\features\Lush\WEEDS.Lushpsmudge04	Lush	Damaged Terrain	smudges	0	1	1	0	lushfoliage	lushpsmudge04		1		0															lushpsmudge04	0	0		0	6	0								
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph01	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph01	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph02	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph02	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph03	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph03	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph04	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph04	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph05	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph05	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph06	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph06	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph07	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph07	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph08	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph08	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph09	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph09	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph10	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph10	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph11	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph11	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph12	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph12	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph13	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph13	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph14	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph14	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph15	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph15	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph16	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph16	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph17	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph17	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph18	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph18	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph19	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph19	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph20	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph20	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph21	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph21	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph22	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph22	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph23	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph23	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph24	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph03	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph25	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph25	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph26	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph26	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\GLYPHS.MarsGlyph27	mars	Glyph	glyph	0	1	1	0	marsglyphs	glyph01hold	glyph27	0	1	5	250	32009	1																										
ReImagined HPI RAW\features\mars\METAL.MarsMetal01	mars	Metal Deposit	metal	0	3	3	0	marsglyphs	metal01		0	1	5	122	32009	1																										
ReImagined HPI RAW\features\mars\METAL.MarsMetal02	mars	Metal Deposit	metal	0	3	3	0	marsglyphs	metal02		0	1	5	86	32009	1																										
ReImagined HPI RAW\features\mars\METAL.MarsMetal03	mars	Metal Deposit	metal	0	3	3	0	marsglyphs	metal03		0	1	5	223	32009	1																										
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant01	mars	Plant	plants	0	2	2	0	marsplants	plant01	plant01shad	0	1	10				plant01rec	50	plant01flame	plant01shad	MarsPlant01crisp	5	15	5	90	TreeBurn	plant01boom	scar09	1	1		0	6	1					MarsPlant01gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant01Crisp	mars	Burnt Plant	plants	0	2	2	0	marsplants2	plant01crisp	plant01shad	0	1	10				plant01crisprec	25				5	15	5	90		plant01crispboom	scar09	0	1		0	6	1					MarsPlant01gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant02	mars	Plant	plants	0	2	2	0	marsplants	plant02	plant02shad	0	1	10				plant02rec	100	plant02flame	plant02shad	MarsPlant02crisp	5	15	5	90	TreeBurn	plant02boom	scar07	1	1		0	6	1					MarsPlant02gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant02Crisp	mars	Burnt Plant	plants	0	2	2	0	marsplants2	plant02crisp	plant02shad	0	1	10				plant02crisprec	75				5	15	5	90		plant02crispboom	scar07	0	1		0	6	1					MarsPlant02gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant03	mars	Plant	plants	0	2	2	0	marsplants	plant03	plant03shad	0	1	10				plant03rec	200	plant03flame	plant03shad	MarsPlant03crisp	5	15	5	90	TreeBurn	plant03boom	scar08	1	1		0	6	1					MarsPlant03gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant03Crisp	mars	Burnt Plant	plants	0	2	2	0	marsplants2	plant03crisp	plant03shad	0	1	10				plant03crisprec	75				5	15	5	90		plant03crispboom	scar08	0	1		0	6	1					MarsPlant03gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant04	mars	Plant	plants	0	2	2	0	marsplants	plant04	plant04shad	0	1	10				plant04rec	200	plant04flame	plant04shad	MarsPlant04crisp	5	15	5	90	TreeBurn	plant04boom	scar08	1	1		0	6	1					MarsPlant04gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant04Crisp	mars	Burnt Plant	plants	0	2	2	0	marsplants2	plant04crisp	plant04shad	0	1	10				plant04crisprec	75				5	15	5	90		plant04crispboom	scar08	0	1		0	6	1					MarsPlant04gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant05	mars	Plant	plants	0	2	2	0	marsplants	plant05	plant05shad	0	1	10				plant05rec	100	plant05flame	plant05shad	MarsPlant05crisp	5	15	5	90	TreeBurn	plant05boom	scar07	1	1		0	6	1					MarsPlant05gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant05Crisp	mars	Burnt Plant	plants	0	2	2	0	marsplants2	plant05crisp	plant05shad	0	1	10				plant05crisprec	25				5	15	5	90		plant05crispboom	scar07	0	1		0	6	1					MarsPlant05gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant06	mars	Plant	plants	0	2	2	0	marsplants	plant06	plant06shad	0	1	10				plant06rec	100	plant06flame	plant06shad	MarsPlant06crisp	5	15	5	90	TreeBurn	plant06boom	scar07	1	1		0	6	1					MarsPlant06gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant06Crisp	mars	Burnt Plant	plants	0	2	2	0	marsplants2	plant06crisp	plant06shad	0	1	10				plant06crisprec	25				5	15	5	90		plant06crispboom	scar07	0	1		0	6	1					MarsPlant06gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant07	mars	Plant	plants	0	2	2	0	marsplants	plant07	plant07shad	0	1	10				plant07rec	50	plant07flame	plant07shad	MarsPlant07crisp	5	15	5	90	TreeBurn	plant07boom	scar09	1	1		0	6	1					MarsPlant07gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant07Crisp	mars	Burnt Plant	plants	0	2	2	0	marsplants2	plant07crisp	plant07shad	0	1	10				plant07crisprec	25				5	15	5	90		plant07crispboom	scar09	0	1		0	6	1					MarsPlant07gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant08	mars	Plant	plants	0	2	2	0	marsplants	plant08	plant08shad	0	1	10				plant08rec	200	plant08flame	plant08shad	MarsPlant08crisp	5	15	5	90	TreeBurn	plant08boom	scar08	1	1		0	6	1					MarsPlant08gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant08Crisp	mars	Burnt Plant	plants	0	2	2	0	marsplants2	plant08crisp	plant08shad	0	1	10				plant08crisprec	75				5	15	5	90		plant08crispboom	scar08	0	1		0	6	1					MarsPlant08gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant01Gone	mars	Damaged Terrain	smudges	0	2	2	0	marsplants3	plant01gone		0		0															marsplant01gone	0	0		0	6	0					marsplant01gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant02Gone	mars	Damaged Terrain	smudges	0	2	2	0	marsplants3	plant02gone		0		0															marsplant02gone	0	0		0	6	0					marsplant02gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant03Gone	mars	Damaged Terrain	smudges	0	2	2	0	marsplants3	plant03gone		0		0															marsplant03gone	0	0		0	6	0					marsplant03gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant04Gone	mars	Damaged Terrain	smudges	0	2	2	0	marsplants3	plant04gone		0		0															marsplant04gone	0	0		0	6	0					marsplant04gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant05Gone	mars	Damaged Terrain	smudges	0	2	2	0	marsplants3	plant05gone		0		0															marsplant05gone	0	0		0	6	0					marsplant05gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant06Gone	mars	Damaged Terrain	smudges	0	2	2	0	marsplants3	plant06gone		0		0															marsplant06gone	0	0		0	6	0					marsplant06gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant07Gone	mars	Damaged Terrain	smudges	0	2	2	0	marsplants3	plant07gone		0		0															marsplant07gone	0	0		0	6	0					marsplant07gone			
ReImagined HPI RAW\features\mars\PLANTS.MarsPlant08Gone	mars	Damaged Terrain	smudges	0	2	2	0	marsplants3	plant08gone		0		0															marsplant08gone	0	0		0	6	0					marsplant08gone			
ReImagined HPI RAW\features\mars\ROCKS.MarsRock01	mars	Rock	rocks	0	3	2	10	marsrocks	rock01	rock01shad	0	1	100	50	2000		rock01rec											marsrock03hit		1				1					marsrock01scar			
ReImagined HPI RAW\features\mars\ROCKS.MarsRock02	mars	Rock	rocks	0	2	3	10	marsrocks	rock02	rock02shad	0	1	100	50	2000		rock02rec											marsrock03hit		1				1					marsrock02scar			
ReImagined HPI RAW\features\mars\ROCKS.MarsRock03	mars	Rock	rocks	0	4	3	10	marsrocks	rock03	rock03shad	0	1	100	50	2000		rock03rec											marsrock03hit		1				1					marsrock03scar			
ReImagined HPI RAW\features\mars\ROCKS.MarsRock04	mars	Rock	rocks	0	2	2	10	marsrocks	rock04	rock04shad	0	1	100	50	2000		rock04rec											marsrock04hit		1				1					marsrock04scar			
ReImagined HPI RAW\features\mars\ROCKS.MarsRock05	mars	Rock	rocks	0	2	2	10	marsrocks	rock05	rock05shad	0	1	100	50	2000		rock05rec											marsrock03hit		1				1					marsrock05scar			
