	UnitName	Version	Side	Objectname	Designation	Name	Description	FootprintX	FootprintZ	BuildCostEnergy	BuildCostMetal	MaxDamage	MaxWaterDepth	MaxSlope	EnergyUse	BuildTime	WorkerTime	BMcode	Builder	ThreeD	ZBuffer	NoAutoFire	SightDistance	RadarDistance	SoundCategory	EnergyStorage	MetalStorage	ExplodeAs	SelfDestructAs	Category	TEDClass	Copyright	YardMap	Corpse	GermanName	GermanDescription	UnitNumber	FrenchName	Frenchdescription	firestandorders	StandingFireOrder	mobilestandorders	StandingMoveOrder	canmove	canpatrol	canstop	SpanishName	SpanishDescription	ItalianName	ItalianDescription	Ovradjust	canguard	MaxVelocity	BrakeRate	Acceleration	TurnRate	SteeringMode	ShootMe	Scale	EnergyMake	DefaultMissionType	maneuverleashlength	MovementClass	MinWaterDepth	buildangle	canattack	Weapon1	Weapon2	Weapon3	downloadable	wpri_badTargetCategory	BadTargetCategory	wsec_badTargetCategory	Floater	Canfly	cruisealt	BankScale	Builddistance	CanReclamate	MetalMake	Upright	standingmoveorder	SonarDistance	WaterLine	Downloadable	Spanishdescription	Italiandescription	NoChaseCategory	canhover	digger	DamageModifier	antiweapons	ai_weight	ai_limit	noshadow	floater	waterline	ActivateWhenBuilt	onoffable	RadarDistanceJam	NoShadow	Waterline	sortbias	IsAirBase	TransMaxUnits	canload	transportsize	transportcapacity	altfromsealevel	corpse	norestrict	HoverAttack	CloakCost	candgun	CloakCostMoving	HealTime	CanCapture	HideDamage	ImmuneToParalyzer	Commander	ShowPlayerName	mincloakdistance	maxwaterdepth	amphibious	IsFeature	PigLatinName	JapaneseName	PigLatinDescription	MoveRate1	Buildangle	MakesMetal	teleporter	Stealth	ExtractsMetal	kamikaze	selfdestructcountdown	init_cloaked	attackrunlength	SonarDistanceJam	FrenchDescription	istargetingupgrade	transportmaxunits	TidalGenerator	kamikazedistance	WindGenerator	MobileStandOrders	weapon1	cantbetransported	Germanname	Germandescription	Frenchname	Spanishname	Italianname	canreclamate	canresurrect	resurrect	stealth	BuildAngle	OVRadjust	upright	ovradjust	PitchScale	MoveRate2
ReImagined HPI Compile\ReIm_Units\ARMJETH.UNITINFO	ARMJETH	1	ARM	ARMJETH	ARM-KML	Jethro	Anti-Air Kbot	2	2	1219	128	470	12	14	0.4	2631	0	1	0	1	1	0	290	0	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armjeth_dead	Jethro	Luftabwehr-Kbot	41	Jethro	Kbot antiaérien	1	2	1	1	1	1	1	Jethro	Kbot lanzamisil antiaéreo	Jethro	Kbot lanciamissili terra-aria	1	1	1.4	0.15	0.1	1016	2	1		0.4	Standby	640	TANKSH2			1	ARMKBOT_MISSILE				NOTAIR	NOTAIR									1																																																																																		
ReImagined HPI Compile\ReIm_Units\ARMLAB.UNITINFO	ARMLAB	1	ARM	ARMLAB	ARM-KL	Kbot Lab	Produces Kbots	6	6	1130	705	2690	0	10	0	6760	100	0	1	1	1	0	223	0	KBOTPLANT	100	100	LARGE_BUILDINGEX	LARGE_BUILDING	ARM PLANT CTRL_F LEVEL1 NOWEAPON NOTAIR NOTSUB 	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	yoccoy ooccoo ooccoo ooccoo ooccoo yoccoy	armlab_dead	Kbot-Labor	Tech Level 1	42	Labo de Kbots 	Niveau Tech 1	1		1	1	1	1	1	Laboratorio Kbot	Produce Kbots	Laboratorio Kbot	Produce Kbot	1								0.75						4096																																																																																																		
ReImagined HPI Compile\ReIm_Units\ARMLANCE.UNITINFO	ARMLANCE	1	ARM	ARMLANCE	AFD-J9	Lancet	Torpedo Bomber	3	3	6438	378	370	0	10	1.5	14096	0	1	0	1	1	0	350	0	ARM_VTOL	0	0	BIG_UNITEX	BIG_UNIT	ARM VTOL CTRL_V LEVEL2 WEAPON TORP  NOTSUB CTRL_W CTRL_P	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Lancet	Torpedo-Bomber	43	Javelot	Bombardier torpilleur	1	0	1	1	1	1	1	Lancet	Bombardero torpedero	Lancet	Bombardiere lancia-torpedini	1	1	9.7	6	0.2	420	1	1		1.5	VTOL_standby	1280				1	ARMAIR_TORPEDO								1	150	1																																														255						8																																		
ReImagined HPI Compile\ReIm_Units\ARMLATNK.UNITINFO	ARMLATNK	1.2	ARM	ARMLATNK	ARM-LAA2	Panther	Lightning Tank	2	2	3830	354	1100	12	10	1.5	9676	0	1	0	1	1	0	255	0	ARM_TANK	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armlatnk_dead	Panther	Blitzpanzer	261	Panther	Char d'assaut	1	2	1	1	1	1	1	Panther	Tanque de asalto	Panther	Carro armato da assalto		1	1.3	0.02	0.07	475	1	1		1.5	Standby	640	TANKSH2			1	armlatnk_weapon	armkbot_missile		1			NOTAIR															VTOL																																																																											
ReImagined HPI Compile\ReIm_Units\ARMLLT.UNITINFO	ARMLLT	1	ARM	ARMLLT	ARM-LDT	L.L.T.	Light Laser Tower	2	2	2546	262	750	0	14	0	4662	0	0	0	1	1	0	380	0	LLT	100	0	MEDIUM_BUILDINGEX	MEDIUM_BUILDING	ARM defensive weapon level1 NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo	armllt_dead	L.L.T.	Leichter Laserturm	44	Laserator	Tourelle laser  	1	2					1	L.L.T.	Torre Láser Ligera	L.L.T.	Torretta laser leggera	1							1			GUARD_NOMOVE				32768	1	ARM_LIGHTLASER				VTOL	VTOL																																																																																											
ReImagined HPI Compile\ReIm_Units\ARMMAKR.UNITINFO	ARMMAKR	1	ARM	ARMMAKR	AEM-EMM	Metal Maker	Converts Energy into Metal	3	3	687	0	144	0	10	60	2605	0	0	0	1	1	0	210	0	ARM_MAKER	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM METAL LEVEL1 NOWEAPON  NOTAIR NOTSUB 	METAL	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armmakr_dead	Metallgenerator	Wandelt Energie in Metall um	45	Métallo	Convertit l'énergie en métal								Productor de Metal	Transforma energía en metal	Generatore di Metallo	Converte energia in metallo	1														8192					1																					0.5							1	1																																1																																
ReImagined HPI Compile\ReIm_Units\ARMMANNI.UNITINFO	ARMMANNI	1.2	ARM	ARMMANNI	ARM-HA8	Penetrator	Mobile Energy Weapon	3	3	17477	2604	650	0	12	5.2	35706	0	1	0	1	1	0	260	0	ARM_TANK	0	0	CRAWL_BLASTSML	ATOMIC_BLAST	ARM TANK LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armmanni_dead	Penetrator	Mobiler Energiewerfer	269	Pénétrator	Canon à énergie mobile	1	2	1	1	1	1	1	Penetrador	Arma de energía móvil	Penetrator	Arma mobile a energia		1	.6	0.07	0.01	170	1	1		5.2	Standby	640	TANKSH3			1	ARMMANNI_WEAPON			1	VTOL	VTOL																VTOL																																																																											
ReImagined HPI Compile\ReIm_Units\ARMMARK.UNITINFO	ARMMARK	1.2	ARM	ARMMARK	ARM-MRB	Marky	Mobile Radar Kbot	2	2	1152	95	320	0	16	15	3800	0	1	0	1	1	0	240	1250	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT NOWEAPON LEVEL2 NOTAIR NOTSUB CTRL_R	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armmark_dead	Marker	Mobiler Radar-KBot	168	Marker	Radar KBot			1	1	1	1	1	Marker		Marker			1	0.94	0.018	0.045	505	1	1		15	Standby	640	TANKSH2							1																Radar KBot	KBot radar mobile:							limit ARMMARK 2				1	1																																																																
ReImagined HPI Compile\ReIm_Units\ARMMART.UNITINFO	ARMMART	1	ARM	ARMMART	ARM-MRA	Luger	Mobile Artillery	3	3	2140	264	525	0	12	0.4	4530	0	1	0	1	1	0	220	0	ARM_TANK	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armmart_dead	Luger	Mobile Artillerie	46	Dislocator	Artillerie mobile	1	2	1	1	1	1	1	Luger	Artillería móvil	Luger	Artiglieria mobile	1	1	1	0.01	0.01	350	1	1		0.4	Standby	640	TANKSH3			1	ARM_ARTILLERY				VTOL	VTOL																VTOL																																																																											
ReImagined HPI Compile\ReIm_Units\ARMMAV.UNITINFO	ARMMAV	1.2	ARM	ARMMAV	ARM-SS	Maverick	Gun-slinging Kbot	2	2	10914	492	870	0	14	0.4	24850	0	1	0	1	1	0	290	0	MAVERICK	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W 	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armmav_dead	Maverick	Revolverheld-Kbot	235	Maverick	Kbot Canon	1	2	1	1	1	1	1	Maverick	Kbot armado con honda lanza proyectiles	Maverick	Kbot d'attacco		1	1.4	0.15	0.1	1016	2	1		0.4	Standby	640	TANKSH2			1	Armmav_weapon			1	VTOL	VTOL									1							VTOL					weight ARMMAV 0.5	limit ARMMAV 20																																																																					
ReImagined HPI Compile\ReIm_Units\ARMMERL.UNITINFO	ARMMERL	1	ARM	ARMMERL	ARM-MRL	Merl	Mobile Rocket Launcher	3	3	2746	462	540	12	16	0.5	8592	0	1	0	1	1	0	230	0	ARM_VEHICLE	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armmerl_dead	Merl	Mobiler Raketen-Werfer	47	Faucon	Lance-roquettes mobile	1	2	1	1	1	1	1	Merl	Lanzacohetes móvil	Merl	Lanciarazzi mobile	1	1	1.2	0.027	0.015	430	1	1		0.5	Standby	640	TANKSH3			1	ARMTRUCK_ROCKET				VTOL	VTOL																VTOL																																																																											
ReImagined HPI Compile\ReIm_Units\ARMMEX.UNITINFO	ARMMEX	1	ARM	ARMMEX	AM-BME1	Metal Extractor	Extracts Metal	3	3	521	50	170	0	10	3	1800	0	0	0	1	1	0	210	0	ARM_MEX	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM metal extractor level1 NOWEAPON NOTAIR NOTSUB  	METAL	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armmex_dead	Metallextraktor	Gewinnt Metall	48	Extracteur	Extrait du métal								Extractor de Metal	Extrae metal	Estrattore di Metallo	Estrae metallo	1														8192																																	1	1																																			0.001																													
ReImagined HPI Compile\ReIm_Units\ARMMH.UNITINFO	ARMMH	1.2	ARM	ARMMH	ARM-HRL	Wombat	Hovercraft Rocket Launcher	3	3	3131	325	450	0	16	2.6	17933	0	1	0	1	1	0	280	0	ARM_HOVER_MID	0	0	BIG_UNITEX	BIG_UNIT	ARM HOVER WEAPON LEVEL2 NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armmh_dead	Wombat	Hovercraft-Raketenwerfer	285	Wombat	Hovercraft Lance-Roquette	1	2	1	1	1	1	1	Wombat		Wombat			1	2.1	0.09	0.03	240	1	1		2.6	Standby	640	TANKHOVER3			1	ARMMH_WEAPON			1	VTOL	VTOL														Hovercraft Lanzador de Cohetes	Hovercraft lanciarazzi	VTOL	1																																																																										
ReImagined HPI Compile\ReIm_Units\ARMMINE1.UNITINFO	ARMMINE1	1.2	ARM	ARMMINE1	EG-1	Tiny	Low Damage, Med. Range Mine	1	1	1017	32	100	0	15	0	1322	0	0	0	1	1	0	55	0	MINE	0	0	ARMMINE1	ARMMINE1	ARM MINE WEAPON LEVEL2 NOTAIR NOTSUB KAMIKAZE CTRL_M 	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	o		Mini	Sprengmine mit räumlich begrenzter, geringer Wirkung	204	Naine	Mine Moy. Portée, Dégats Lég.	0	2			0	0	0	Tiny	Mina de corto alcance, pocos daños	Mina Tiny	Medio raggio, potenza minima		0									Standby_Mine					0				1																																											7									10													1	1	1																										
ReImagined HPI Compile\ReIm_Units\ARMMINE2.UNITINFO	ARMMINE2	1.2	ARM	ARMMINE2	EG-2	Area Mine	Low Damage, Large Range Mine	1	1	1909	61	100	0	15	0	2481	0	0	0	1	1	0	70	0	MINE	0	0	ARMMINE2	ARMMINE2	ARM MINE WEAPON LEVEL2 NOTAIR NOTSUB KAMIKAZE CTRL_M	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	o		Areal-Mine	Sprengmine mit flächendeckender, geringer Wirkung	221	Mine de Zone	Mine Gra. Portée, Dégats Lég.	0	2			0	0	0	Mina de Area	Mina de gran alcance, pocos daños	Mina standard  	Lungo raggio, potenza minima		0									Standby_Mine					0				1																																											14									10													1	1	1																										
ReImagined HPI Compile\ReIm_Units\ARMMINE3.UNITINFO	ARMMINE3	1.2	ARM	ARMMINE3	EG-3	Focused Mine	Med. Damage, Small Range Mine	1	1	2688	86	100	0	15	0	3494	0	0	0	1	1	0	55	0	MINE	0	0	ARMMINE3	ARMMINE3	ARM MINE WEAPON LEVEL2 NOTAIR NOTSUB KAMIKAZE CTRL_M	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	o		Fokus-Mine	Kleiner Wirkungsbereich, mittlerer Schaden	222	Mine Intelligente	Mine Fai. Portée, Dégats Moy.	0	2			0	0	0	Mina Focal	Mina de corto lacance, daños medios	Mina di prossimità	Corto raggio, potenza media		0									Standby_Mine					0				1																																											19									10													1	1	1																										
ReImagined HPI Compile\ReIm_Units\ARMMINE4.UNITINFO	ARMMINE4	1.2	ARM	ARMMINE4	EG-4	HE Area Mine	Med. Damage, Large Range Mine	1	1	4294	137	100	0	15	0	5582	0	0	0	1	1	0	60	0	MINE	0	0	ARMMINE4	ARMMINE4	ARM MINE WEAPON LEVEL2 NOTAIR NOTSUB KAMIKAZE CTRL_M	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	o		Schwere Areal-Mine	Großer Wirkungsbereich, mittlerer Schaden	223	Mine de Zone HE	Mine Gra. Portée, Dégats Moy.	0	2			0	0	0	Mina de Area HE	Mina de largo alcance, daños medios	Mina HE	Lungo raggio, potenza media		0									Standby_Mine					0				1																																											31									10													1	1	1																										
ReImagined HPI Compile\ReIm_Units\ARMMINE5.UNITINFO	ARMMINE5	1.2	ARM	ARMMINE5	EG-5	Precision Mine	High Damage, Small Range Mine	1	1	4135	132	2000	0	15	0	5375	0	0	0	1	1	0	55	0	MINE3	0	0	ARMMINE5	ARMMINE5	ARM MINE WEAPON LEVEL2 NOTAIR NOTSUB KAMIKAZE CTRL_M	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	o		Präzisions-Mine	Kleiner Wirkungsbreich, extremer Schaden	224	Mine de Précision	Mine Fai. Portée, Dégats Imp.	1	2			0	0	0	Mina de Precisión	Mina de corto alcance, grandes daños	Mina di precisione	Corto raggio, potenza massima		0									Standby_Mine					0				1																																											30									10													1	1	1																										
ReImagined HPI Compile\ReIm_Units\ARMMINE6.UNITINFO	ARMMINE6	1.2	ARM	ARMMINE6	EG-6	Nuclear Mine	Nuclear Mine	1	1	22272	498	100	0	15	0	28953	0	0	0	1	1	0	100	0	MINE3	0	0	ARMMINE6	ARMMINE6	ARM MINE WEAPON LEVEL2 NOTAIR NOTSUB KAMIKAZE CTRL_M	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	o		Atom-Mine	Nuklearsprengsatz	225	Mine Nucléaire	Mine Nucléaire	1	0			0	0	0	Mina Nuclear	Mina Nuclear	Mina nucleare	Mina nucleare		0									Standby_Mine					0				1																																											79									10													1	2	1																										
ReImagined HPI Compile\ReIm_Units\ARMMLV.UNITINFO	ARMMLV	1.2	ARM	ARMMLV	ARM-ML4	Podger	Mine Layer Vehicle	3	3	1031	173	1200	0	16	1	1519	100	1	1	1	1	0	155	0	ARM_CVEHICLE	0	0	BIG_UNITEX	BIG_UNIT	ARM MINELAYER TANK LEVEL2 NOTAIR NOTSUB	CNSTR	Copyright 1997 Humongous Entertainment. All rights reserved.		armmlv_dead	Podger	Legt Landminen	169	Petit Poucet	Poseur de mines			1	1	1	0	1	Podger	Minas terrestres de superficie	Podger	Posamine di terra		0	.9	0.08	0.015	250	1	1		1	Standby	640	TANKSH3							1								70	0	0																																																																																			
ReImagined HPI Compile\ReIm_Units\ARMMMKR.UNITINFO	ARMMMKR	1.2	ARM	ARMMMKR	AEM-MEM	Moho Metal Maker	Converts Energy into Metal	4	4	9350	58	400	0	10	800	34980	0	0	0	1	1	0	210	0	ARM_MAKER	0	0	BIG_BUILDINGEX	BIG_BUILDING	ARM METAL LEVEL2 NOWEAPON NOTAIR NOTSUB  	METAL	Copyright 1997 Humongous Entertainment. All rights reserved.	ooo ooo ooo	armmmkr_dead	Moho-Metallschmelze	Metallgewinnung	268	Métallo avançé	Convertisseur d'énergie en métal avançée								Productor de Metal Moho	Complejo de producción de metal	Crea-Metalli Moho	Complesso per la creazione di metalli															8192					1																												1	1																																16																																
ReImagined HPI Compile\ReIm_Units\ARMMOHO.UNITINFO	ARMMOHO	1	ARM	ARMMOHO	AM-MME	Moho Mine	Advanced Metal Extractor	5	5	8700	1508	1573	0	10	15	35750	0	0	0	1	1	0	210	0	ARM_MOHO	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM metal extractor level3 NOWEAPON NOTAIR NOTSUB 	METAL	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooooooooooooooooooo	armmoho_dead	Moho-Mine	Verbesserter Metallextractor	49	Mine Moho	Extracteur de métal évolué								Mina Moho	Extractor avanzado de metal	Estrattore Moho	Estrattore di metallo avanzato	1														2048																																	1	1																																			0.003																													
ReImagined HPI Compile\ReIm_Units\ARMMSHIP.UNITINFO	ARMMSHIP	1	ARM	ARMMSHIP	ASD-SM	Ranger	Missile Ship	6	6	7804	2348	1200			0.8	22317	0	1	0	1	1	0	245	0	ARM_SHIP	0	0	BIG_UNITEX	BIG_UNIT	ARM SHIP LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armmship_dead	Ranger	Raketenkreuzer	50	Ranger	Navire lance-missiles	1	2	1	1	1	1	1	Ranger	Buque Lanzamisiles	Ranger	Nave lanciamissili	1	1	1	0.022	0.01	134	1	1		0.8	Standby	640	BOATD6	12		1	ARMMSHIP_ROCKET	ARMSHIP_MISSILE					NOTAIR	1																																																																																									
ReImagined HPI Compile\ReIm_Units\ARMMSTOR.UNITINFO	ARMMSTOR	1	ARM	ARMMSTOR	AM-MSF	Metal Storage	Increases Metal Storage	4	4	535	305	1329	0	10	0	2925	0	0	0	1	1	0	210	0	ARM_MSTOR	0	1000	SMALL_BUILDINGEX	SMALL_BUILDING	ARM METAL LEVEL1 NOWEAPON  NOTAIR NOTSUB STORAGE	METAL	Copyright 1997 Humongous Entertainment. All rights reserved.	oooooooooooooooo	armmstor_dead	Metallspeicher	Vergrößert Lager für Metallvorräte	51	Dépôt de métal	Augmente le stockage de métal								Almacén de Metal	Incrementa capacidad de alm. metal	Deposito di Metallo	Aumenta l'immagazzinamento del metallo	1														4096																																	1																																																																	
ReImagined HPI Compile\ReIm_Units\ARMPEEP.UNITINFO	ARMPEEP	1	ARM	ARMPEEP	AFD-S1	Peeper	Air Scout	2	2	1475	40.28	80	0	10	0.2	2585	0	1	0	1	1	0	350	700	ARM_VTOL	0	0	SMALL_UNITEX	SMALL_UNIT	ARM VTOL CTRL_V LEVEL1 NOWEAPON NOTSUB 	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Peeper	Luftaufklärer	52	Voyeur	Avion de reconnaissance			1	1	1	1	1	Peeper	Avión de reconocimiento	Peeper	Unità di ricognizione aerea	1	1	12	9	0.5	800	1	1		0.2	VTOL_standby	1280													1	180	1																																																																																						
ReImagined HPI Compile\ReIm_Units\ARMPLAT.UNITINFO	ARMPLAT	1.2	ARM	ARMPLAT	ARM-SED	Seaplane Platform	Builds Seaplanes	7	7	5396	2223	1820	0		0	19248	200	0	1	1	1	0	130	0	ARM_SEAPLN_PLANT	200	900	LARGE_BUILDINGEX	LARGE_BUILDING	ARM PLANT CTRL_F LEVEL2 NOWEAPON NOTAIR NOTSUB 	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	wwwwwww wCCCCCw wCCCCCw wCCCCCw wCCCCCw wCCCCCw wwwwwww	armplat_dead	Wasserflugzeug-Plattform	Baut Wasserflugzeuge	242	Plate-Forme Hydravion	Construit Hydravions	1	2	1	1	1	1	1	Plataforma de Hidroaviones	Construye Hidroaviones	Piattaforma idrovolanti	Costruzione idrovolanti	1													30						1										1				43																	1																																																														
ReImagined HPI Compile\ReIm_Units\ARMPNIX.UNITINFO	ARMPNIX	1	ARM	ARMPNIX	AFD-HAB	Phoenix	Bomber	3	3	7624	209	470	0	10	1.8	16064	0	1	0	1	1	0	350	0	ARM_VTOL	0	0	BIG_UNITEX	BIG_UNIT	ARM VTOL CTRL_V LEVEL2 WEAPON BOMB NOTSUB CTRL_W CTRL_P	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Phoenix	Strategischer Bomber	53	Phénix	Bombardier stratégique	1	2	1	1	1	1	1	Phoenix	Bombardero	Phoenix	Bombardiere	1	1	9.5	4	0.06	365	1	1	1	1.8	VTOL_standby	1280				1	ARMADVBOMB	ARMAIR2AIRLASER					NOTAIR		1	220	1											UNDERWATER																					1																													180																									
ReImagined HPI Compile\ReIm_Units\ARMPT.UNITINFO	ARMPT	1	ARM	ARMPT	ASD-SS	Skeeter	Scout Ship	4	4	985	100	560			0.2	2062	0	1	0	1	1	0	280	0	ARM_SHIP	0	0	SMALL_UNITEX	SMALL_UNIT	ARM SHIP LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armpt_dead	Skeeter	Aufklärer	54	Palombe	Vedette de reconnaissance	1	2	1	1	1	1	1	Skeeter	Motora de reconocimiento	Skeeter	Nave di ricognizione	1	1	3.8	0.02	0.1	511	1	1		0.2	Standby	640	BOATS4	6		1	ARMPT_LASER	ARMKBOT_MISSILE					NOTAIR	1									0																																																																																
ReImagined HPI Compile\ReIm_Units\ARMPW.UNITINFO	ARMPW	1	ARM	ARMPW	ARM-KI	Peewee	Infantry Kbot	2	2	697	53	250	12	17	0.3	1452	0	1	0	1	1	0	280	0	ARMPW	0	0	SMALL_UNITEX	SMALL_UNIT	ARM KBOT LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armpw_dead	Peewee	Infantrie-Kbot	55	Peewee	Infanterie Kbot	1	2	1	1	1	1	1	Peewee	Kbot de infantería	Peewee	Kbot da fanteria	1	1	1.8	0.19	0.1	1120	2	1		0.3	Standby	640	TANKSH2			1	EMG				VTOL	VTOL									1							VTOL																																																																											
ReImagined HPI Compile\ReIm_Units\ARMRAD.UNITINFO	ARMRAD	1	ARM	ARMRAD	AS-EWDL	Radar Tower	Radar Tower	2	2	750	49	51	0	10	5	1137	0	0	0	1	1	0	350	1440	ARM_RADAR	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM SPECIAL RAD LEVEL1 NOTAIR NOTSUB CTRL_R	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo	armrad_dead	Radarturm	Tech Level 2	56	Tour radar  	Niveau Tech 1								Torre de Radar 	Torre de Radar 	Torre Radar	Torretta radar	1									5					8192																																	1	1																																																																
ReImagined HPI Compile\ReIm_Units\ARMRL.UNITINFO	ARMRL	1	ARM	ARMRL	ARM-SRDS	Defender	Missile Tower	3	3	843	79	295	0	20	0	1843	0	0	0	1	1	0	350	0	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM SPECIAL LEVEL2 WEAPON NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armrl_dead	Defender	Raketenturm	57	Défensor	Tourelle lance-missiles	1	2					1	Defender	Torre Lanzamisiles	Defender	Torretta missilistica	1							1			GUARD_NOMOVE					1	ARMRL_MISSILE				NOTAIR	NOTAIR																																																																																											
ReImagined HPI Compile\ReIm_Units\ARMROCK.UNITINFO	ARMROCK	1	ARM	ARMROCK	ARM-KRL	Rocko	Rocket Kbot	2	2	964	117	610	12	14	0.6	1946	0	1	0	1	1	0	260	0	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armrock_dead	Rocko	Raketen-Kbot	58	Rockett	Kbot lance-roquettes	1	2	1	1	1	1	1	Rocko	Kbot Lanzacohetes	Rocko	Kbot lanciarazzi	1	1	1.2	0.15	0.1	1005	2	1		0.6	Standby	640	TANKSH2			1	KBOT_ROCKET				VTOL	VTOL									1							VTOL																																																																											
ReImagined HPI Compile\ReIm_Units\ARMROY.UNITINFO	ARMROY	1	ARM	ARMROY	ASD-SD	Crusader	Destroyer	4	4	4537	898	2870			2	13391	0	1	0	1	1	0	330	0	ARM_SHIP	0	0	BIG_UNITEX	BIG_UNIT	ARM SHIP LEVEL2 WEAPON ANTISUB NOTAIR NOTSUB CTRL_W	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armroy_dead	Crusader	Zerstörer	59	Paladin	Destroyer	1	2	1	1	1	1	1	Crusader	Destructor	Crusader	Distruttore	1	1	2.9	0.013	0.04	121	1	1	0.5	2	Standby	640	BOATS4	12	16384	1	ARM_ROY	ARMDEPTHCHARGE					NOTSUB 	1									305															1																																																																	
ReImagined HPI Compile\ReIm_Units\ARMSAM.UNITINFO	ARMSAM	1	ARM	ARMSAM	ARM-MML5	Samson	Mobile Missile Launcher	3	3	1027	119	650	12	16	0.5	1941	0	1	0	1	1	0	235	0	ARM_VEHICLE	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armsam_dead	Samson	Mobiler Raketenwerfer	60	Samson	Lance-missiles mobile	1	2	1	1	1	1	1	Samson	Lanzamisiles móvil	Samson	Lanciamissili mobile	1	1	1.5	0.012	0.03	511	1	1		0.5	Standby	640	TANKSH3			1	ARMTRUCK_MISSILE				NOTAIR	NOTAIR																																																																																											
ReImagined HPI Compile\ReIm_Units\ARMSCAB.UNITINFO	ARMSCAB	3.1	ARM	ARMSCAB	ARM-AMD1	Scarab	Mobile Missile Defense	3	3	88000	1437	780	0	10	0	95678	0	1	0	1	1	1	155	0	ARM_KBOT	0	0	ATOMIC_BLAST	CRAWL_BLASTSML	ARM SPECIAL DEFENSIVE WEAPON LEVEL3 NOTAIR NOTSUB 	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armscab_dead	Scarab	Mobile Raketenabwehr	319	Scarabée	Défense mobile antimissile	1	2	1	1	1	1	1	Escarabajo	Defensa de Misiles Móvil	Scarabeo	Difesa mobile missilistica	1	1	1.2	0.027	0.015	430	1	1			Standby	640	TANKSH3				ARMSCAB_WEAPON			1	VTOL	VTOL																VTOL			0.5	1																																																																							
