	ID	name	rendertype	lineofsight	turret	model	range	reloadtime	weapontimer	weaponvelocity	startvelocity	weaponacceleration	turnrate	areaofeffect	metalpershot	soundstart	soundhit	firestarter	smokedelay	guidance	tracks	selfprop	smoketrail	tolerance	explosiongaf	explosionart	waterexplosiongaf	waterexplosionart	lavaexplosiongaf	lavaexplosionart	startsmoke	DAMAGE.default	DAMAGE.ARMTHUND	DAMAGE.ARMBRAWL	DAMAGE.ARMPEEP	DAMAGE.ARMFIG	DAMAGE.ARMCA	DAMAGE.ARMACA	DAMAGE.ARMATLAS	DAMAGE.ARMPNIX	DAMAGE.ARMHAWK	DAMAGE.ARMLANCE	DAMAGE.CORFINK	DAMAGE.CORVENG	DAMAGE.CORVAMP	DAMAGE.CORHURC	DAMAGE.CORTITAN	DAMAGE.CORACA	DAMAGE.CORSHAD	DAMAGE.CORAPE	DAMAGE.CORCA	DAMAGE.CORVALK	ballistic	toairweapon	edgeeffectiveness	minbarrelangle	accuracy	burnblow	color	beamweapon	color2	propeller	waterweapon	vlaunch	paralyzer	noautorange	flighttime	energypershot	stockpile	targetable	commandfire	cruise	twophase	shakemagnitude	shakeduration	DAMAGE.armamd	DAMAGE.corfmd	DAMAGE.corcom	DAMAGE.coraap	DAMAGE.coraca	DAMAGE.corack	DAMAGE.coracsub	DAMAGE.coracv	DAMAGE.corah	DAMAGE.corak	DAMAGE.coralab	DAMAGE.coramph	DAMAGE.corap	DAMAGE.corape	DAMAGE.corarad	DAMAGE.corarch	DAMAGE.corason	DAMAGE.corasp	DAMAGE.corasy	DAMAGE.coratl	DAMAGE.coravp	DAMAGE.corawac	DAMAGE.corbats	DAMAGE.corbeac	DAMAGE.corberg	DAMAGE.corbuild	DAMAGE.corbunk	DAMAGE.corburn	DAMAGE.corbuzz	DAMAGE.corbvalk	DAMAGE.corca	DAMAGE.corcan	DAMAGE.corcarry	DAMAGE.corch	DAMAGE.corck	DAMAGE.corckfus	DAMAGE.corcrash	DAMAGE.corcrus	DAMAGE.corcs	DAMAGE.corcsa	DAMAGE.corcv	DAMAGE.cordecom	DAMAGE.cordev1	DAMAGE.cordino	DAMAGE.cordoom	DAMAGE.corestor	DAMAGE.coreter	DAMAGE.corfast	DAMAGE.corfav	DAMAGE.corfdrag	DAMAGE.corfhlt	DAMAGE.corfink	DAMAGE.corflak	DAMAGE.corfmkr	DAMAGE.corfrt	DAMAGE.corfus	DAMAGE.corgant	DAMAGE.corgate	DAMAGE.corgator	DAMAGE.corgeo	DAMAGE.corgol	DAMAGE.corhead	DAMAGE.corhlt	DAMAGE.corhp	DAMAGE.corhrk	DAMAGE.corhunt	DAMAGE.corhurc	DAMAGE.corint	DAMAGE.corkrog	DAMAGE.corlab	DAMAGE.corlevlr	DAMAGE.corllt	DAMAGE.corlook	DAMAGE.cormabm	DAMAGE.cormakr	DAMAGE.cormart	DAMAGE.cormex	DAMAGE.cormh	DAMAGE.cormine1	DAMAGE.cormine2	DAMAGE.cormine3	DAMAGE.cormine4	DAMAGE.cormine5	DAMAGE.cormine6	DAMAGE.cormist	DAMAGE.cormls	DAMAGE.cormlv	DAMAGE.cormmkr	DAMAGE.cormoho	DAMAGE.cormort	DAMAGE.cormship	DAMAGE.cormstor	DAMAGE.cornecro	DAMAGE.corplat	DAMAGE.corpt	DAMAGE.corpun	DAMAGE.corpyro	DAMAGE.corrad	DAMAGE.corraid	DAMAGE.correap	DAMAGE.corrl	DAMAGE.corroach	DAMAGE.corroy	DAMAGE.corscorp	DAMAGE.corseal	DAMAGE.corseap	DAMAGE.corsent	DAMAGE.corsfig	DAMAGE.corsh	DAMAGE.corshad	DAMAGE.corshark	DAMAGE.corsilo	DAMAGE.corsjam	DAMAGE.corsnap	DAMAGE.corsolar	DAMAGE.corsonar	DAMAGE.corspec	DAMAGE.corspot	DAMAGE.corspy	DAMAGE.corss	DAMAGE.corssub	DAMAGE.corstorm	DAMAGE.corsub	DAMAGE.corsumo	DAMAGE.corsy	DAMAGE.cortarg	DAMAGE.corthovr	DAMAGE.corthud	DAMAGE.corthund	DAMAGE.cortide	DAMAGE.cortitan	DAMAGE.cortl	DAMAGE.cortoast	DAMAGE.cortron	DAMAGE.cortruck	DAMAGE.cortship	DAMAGE.coruwes	DAMAGE.coruwfus	DAMAGE.coruwmex	DAMAGE.coruwms	DAMAGE.corvalk	DAMAGE.corvamp	DAMAGE.corveng	DAMAGE.corvipe	DAMAGE.corvoyr	DAMAGE.corvp	DAMAGE.corvrad	DAMAGE.corvroc	DAMAGE.corwin	soundtrigger	duration	DAMAGE.armmine1	DAMAGE.armmine2	DAMAGE.armmine3	DAMAGE.armmine4	DAMAGE.armmine5	DAMAGE.ARMCOM	DAMAGE.CORCOM	coverage	interceptor	burstrate	DAMAGE.armcom	aimrate	sprayangle	burst	DAMAGE.Default	holdtime	DAMAGE.ARMSEAP	DAMAGE.ARMSEHAK	DAMAGE.CORSEAP	DAMAGE.CORHUNT	DAMAGE.armflash	DAMAGE.armpw	DAMAGE.armwar	DAMAGE.armatl	DAMAGE.armtl	DAMAGE.armsubk	startfire	DAMAGE.armaas	DAMAGE.armaca	DAMAGE.armack	DAMAGE.armacsub	DAMAGE.armacv	DAMAGE.armah	DAMAGE.armamph	DAMAGE.armanac	DAMAGE.armaser	DAMAGE.armatlas	DAMAGE.armawac	DAMAGE.armbats	DAMAGE.armbrawl	DAMAGE.armbs	DAMAGE.armbull	DAMAGE.armbv	DAMAGE.armca	DAMAGE.armcarry	DAMAGE.armch	DAMAGE.armck	DAMAGE.armcroc	DAMAGE.armcrus	DAMAGE.armcs	DAMAGE.armcsa	DAMAGE.armcuda	DAMAGE.armcv	DAMAGE.armdecom	DAMAGE.armfark	DAMAGE.armfast	DAMAGE.armfav	DAMAGE.armfido	DAMAGE.armfig	DAMAGE.armflea	DAMAGE.armham	DAMAGE.armhawk	DAMAGE.armhrk	DAMAGE.armjam	DAMAGE.armjeth	DAMAGE.armlance	DAMAGE.armlatnk	DAMAGE.armlcrwl	DAMAGE.armmanni	DAMAGE.armmark	DAMAGE.armmart	DAMAGE.armmav	DAMAGE.armmerl	DAMAGE.armmh	DAMAGE.armmls	DAMAGE.armmlv	DAMAGE.armmship	DAMAGE.armpeep	DAMAGE.armpnix	DAMAGE.armpt	DAMAGE.armrectr	DAMAGE.armrock	DAMAGE.armroy	DAMAGE.armrtank	DAMAGE.armsam	DAMAGE.armscab	DAMAGE.armscram	DAMAGE.armseap	DAMAGE.armseer	DAMAGE.armsehak	DAMAGE.armsfig	DAMAGE.armsh	DAMAGE.armsjam	DAMAGE.armsnipe	DAMAGE.armspid	DAMAGE.armspy	DAMAGE.armss	DAMAGE.armstar	DAMAGE.armstraf	DAMAGE.armstump	DAMAGE.armsub	DAMAGE.armthovr	DAMAGE.armthund	DAMAGE.armship	DAMAGE.armvader	DAMAGE.armyork	DAMAGE.armzeus	DAMAGE.armtship	meteor	noradar	unitsonly	soundwater	randomdecay	groundbounce	endsmoke	dropped	metal	energy	pitchtolerance	noexplode
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.ARMBOMB	3	Bombs	6			bomb	1280	.18						48		bombrel	xplomed2								fx	explode3	fx	h2o	fx	lavasplash		158																																							1																																																																																																																																																																																																																																																																															1	10	50		
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.ARMADVBOMB	4	Advanced Bombs	6			bomb	1280	.15						59		bombrel	xplomed2								fx	explode3	fx	h2o	fx	lavasplash		195																																							1																																																																																																																																																																																																																																																																															1	10	50		
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.CORBOMB	5	Bombs	6			bomb	1280	.19						56		bombrel	xplomed2								fx	explode3	fx	h2o	fx	lavasplash		150																																							1																																																																																																																																																																																																																																																																															1	10	50		
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.CORADVBOMB	6	Advanced Bombs	6			bomb	1280	.16						64		bombrel	xplomed2								fx	explode3	fx	h2o	fx	lavasplash		187																																							1																																																																																																																																																																																																																																																																															1	10	50		
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.MINDGUN	7	Mind Gun	2	1			500	1	2	91				16		phaser	explode															100																																																																																																																																																																																																																																																																																																																	1									
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.SBMISSILE	8	Starburst Missile	1	1		missile	300	1.6	1.5	458	458	131	32000	16	0	rocklit3	xplosml2	70	.1	1		1	1	4000	fx	explode3	fx	h2oboom1	fx	lavasplashsm		80																																1			5						1																																																																																																																																																																																																																																																																																	
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.COAX_TORPEDO	9	Torpedo Launcher	1	1	1	torpedo	400	2.6	3	100	100	15	500	16		torpedo1	xplodep2			1	1	1			fx	explode3	fx	h2oboom1	fx	lavasplashsm		400																										1				1	1																																																																																																																																																																																																																																																																																											
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.ARM_TORPEDO	10	Unguided Torpedo	1	1	0	torpedo	400	2.7	3	100	100	15	500	16		torpedo1	xplodep1			1	1	1		32767	fx	explode3	fx	h2oboom1	fx	lavasplashsm		350																										1				1	1																																																																																																																											115																																																																		115																																																																																														
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.CORE_TORPEDO	11	Unguided Torpedo	1	1	0	torpedo	400	2.71	3	100	100	15	500	16		torpedo2	xplodep3			1	1	1		32767	fx	explode3	fx	h2oboom1	fx	lavasplashsm		370																										1				1	1																																																																																																																											130																																																																		130																																																																																														
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.ARMSMART_TORPEDO	12	Guided Torpedo	1	1	0	torpedo	375	2.3	3	100	100	15	10000	16		torpedo1	xplodep1			1	1	1		32767	fx	explode3	fx	h2oboom1	fx	lavasplashsm		200																										1				1	1																																																																																																																																							580																																																																																																																																	580																			
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.CORSMART_TORPEDO	13	Guided Torpedo	1	1	0	torpedo	375	2.28	3	100	100	15	10000	16		torpedo2	xplodep3			1	1	1		32767	fx	explode3	fx	h2oboom1	fx	lavasplashsm		210																										1				1	1																																																																																																																																							600																																																																																																																																	600																			
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.ARMAIR_TORPEDO	14	Torpedo Launcher	1	1	0	torpedo	400	8.5	5	100	100	15	10000	16		bombrel	xplodep2			1	1	1		6000	fx	explode3	fx	h2oboom1	fx	lavasplashsm		750																										1				1	1																																																																																																																																																																																																																																																																																											
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.CORAIR_TORPEDO	15	Torpedo Launcher	1	1	0	torpedo	400	9	5	100	100	15	10000	16		bombrel	xplodep2			1	1	1		6000	fx	explode3	fx	h2oboom1	fx	lavasplashsm		780																										1				1	1																																																																																																																																																																																																																																																																																											
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.EMG	16	E.M.G.	4	1	1		180	.4	1	300				8		armsml2	lasrhit1							6000	fx	explode5	fx	h2oboom1	fx	lavasplashsm	1	8																											2																																																																																																																																																																						1											.1			1024	3																																																																																																										
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.VTOL_EMG	18	E.M.G.	4	1	0		370	.6	1	450				8		armsml3	lasrhit1							6000	fx	explode5	fx	h2oboom1	fx	lavasplashsm	1	11																											1																																																																																																																																																																						1											.1			1024	4																																																																																																									12000	
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.VTOL_EMG2	19	E.M.G.	4	1	0		510	.6	1	400				8		emgpuls1	lasrhit1							11000	fx	explode5	fx	h2oboom1	fx	lavasplashsm	1	12																											1																																																																																																																																																																						1											.1			1024	3																																																																																																										
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.ARMCOMLASER	20	J7 Laser	0	1	1		200	.85		400				16		lasrfir1	lasrhit2	70							fx	explode5	fx	h2oboom1	fx	lavasplashsm		60																											232	1	234																																																																																																																																																																				1	.03																																																																																																																								
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.CORCOMLASER	21	XC Laser	0	1	1		200	1.0		400				16		lasrfir1	lasrhit2	70							fx	explode5	fx	h2oboom1	fx	lavasplashsm		70																											232	1	234																																																																																																																																																																				1	.03																																																																																																																								
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.ARM_DISINTEGRATOR	22	Disintegrator	3	1	1	dgun	240	1.2	4	200				48		disigun1	xplomas2	70							fx	explode5	fx	h2o	fx	lavasplash	1	30000																												1								400			1																																																																																																																																																										1																																																																																																																									1
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.CORE_DISINTEGRATOR	23	Disintegrator	3	1	1	dgun	240	1.2	4	200				48		disigun1	xplomas2	70							fx	explode5	fx	h2o	fx	lavasplash	1	30000																												1								400			1																																																																																																																																																										1																																																																																																																									1
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.ARM_TOTAL_ANNIHILATOR	24	Annihilator Weapon	0	1	1		1200	5		1000				8		annigun1	xplolrg1	90						500	fx	explode5	fx	h2oboom1	fx	lavasplashsm		2500																											144	1	217							2000																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.CORE_DOOMSDAY	25	Doomsday Weapon	0	1	1		600	8		1000				8		annigun1	xplosml3	90						500	fx	explode5	fx	h2oboom1	fx	lavasplashsm		2500																											144	1	217							800																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.LIGHTNING	26	Lightning Gun	7	1	1		180	1.45		400				8		lghthvy1	lashit	50							fx	explode5	fx	h2oboom1			1	180																											208	1	196																																																																																																																																																																				1	10																																																																																																																								
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.ATOMIC_BLAST	27	Atomic Blast Weapon	4		1		480	3.6		250				516		largegun	xplonuk3								fx	explode2	fx	h2oboom2				2000																					1																					24	1.5																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.ATOMIC_BLASTSML	28	Atomic Blast Weapon	4		1		480	3.6		250				260		largegun	xplonuk3								fx	explode2	fx	h2oboom2	fx	lavasplashlg		1000																					1																					24	1.5																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.ARM_PARALYZER	29	Paralyzer	0	1	1		220	1.2		600				8		lasrlit1	lashit								fx	explode5	fx	h2oboom1				900																								0			209	1	211				1																																																																																																																																																																1	.04																																																																																																																								
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.AMD_ROCKET	30	Rocket	1	1		amdrocket	32000	120	4	800		60	32768	96	200	Rockhvy1	xplomed4	100	.1	1	1	1	1	4000	fx	explode3	fx	h2oboom2	fx	lavasplashlg	1	500																																1		1	60	10000	1				1																																																																																																																																																																	2000	1																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.FMD_ROCKET	32	Rocket	1	1		fmdmisl	32000	120	4	800		60	32768	96	200	Rockhvy1	xplomed4	100	.1	1	1	1	1	4000	fx	explode3	fx	h2oboom2	fx	lavasplashlg	1	500																																1		1	60	10000	1				1																																																																																																																																																																	2000	1																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.COREDEPTHCHARGE	34	Depth Charge	1	1	0	DEPTHCHARGE	400	2.6	3	100	100	15	10000	16		torpedo1	xplodep2			1	1	1		32767	fx	explode3	fx	h2oboom1	fx	lavasplashsm		80																										1				1	1																																																																																																																																																																																																																																																																																											
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.ARMDEPTHCHARGE	35	Depth Charge	1	1	0	DEPTHCHARGE	410	2.8	3	110	100	15	10000	16		torpedo1	xplodep2			1	1	1		32767	fx	explode3	fx	h2oboom1	fx	lavasplashsm		70																										1				1	1																																																																																																																																																																																																																																																																																											
